epoch,binary_accuracy,loss,macro_f1,val_binary_accuracy,val_loss,val_macro_f1
0,0.9455255760966038,0.1621504743577043,0.03314688968899282,0.9544287556671052,0.14125117639532364,0.05762190578980334
1,0.9595961505668008,0.1256035772829381,0.07220321915777071,0.9544572241277809,0.1362616125924654,0.09153731713494456
2,0.9687144759250701,0.0987744956883608,0.09749627341360054,0.9475100066557348,0.15102933661871223,0.09855621705848382
3,0.9697890957996615,0.09593165757205395,0.19540483442195578,0.9608672672058957,0.12749807376310646,0.1393037584732728
4,0.9734128591998311,0.08511738940840066,0.2385182116855711,0.9625747056596308,0.11960913062808048,0.1523257610926115
5,0.9751646162679531,0.08039939748644162,0.2584580109490111,0.9547844636012833,0.14163657049258865,0.14237625994886535
6,0.976008335882652,0.07797780685643488,0.27793201207447904,0.9579752633771098,0.13330234337850397,0.16731448602153962
7,0.9755904715066521,0.07825678869606864,0.2763178820844731,0.9624039863210275,0.12468185495451627,0.16847265090244226
8,0.9748949602146276,0.07923018023688388,0.27253064265520516,0.961180300351633,0.1184495015745144,0.18173944487039786
9,0.9723709898507035,0.08525216435842732,0.2556417676559764,0.9592772173691556,0.11509621858715537,0.22100468193629824
10,0.9691630944042932,0.09238150860339203,0.23599091935611144,0.9633964456884985,0.10458247307168535,0.2553712571878357
11,0.9699357080246245,0.08966124195113812,0.24684211047703788,0.963417794599951,0.10967025626821822,0.22853891610861773
12,0.9737104764187363,0.08046680870538857,0.2670178974834865,0.9640509709419007,0.11435065231475222,0.19354016538635194
13,0.9758465434080802,0.07532044035409655,0.2913132249642272,0.9670318958768807,0.10161376038039348,0.19452573762709402
14,0.977218786342032,0.07127022479454544,0.3012466426930438,0.9659469619215247,0.10841561672815764,0.18929649485772349
15,0.9773446274017061,0.07093809652756858,0.3066299491414021,0.964257295863087,0.10812699931313792,0.19260043256073833
16,0.9770010646290961,0.07151863339129977,0.30294285161916573,0.9673449373340227,0.1041269356985966,0.19105227612166767
17,0.9756240275082172,0.07412354900632928,0.2973062015753198,0.9655200893660466,0.10625407120502328,0.2116582987318001
18,0.9748146638507544,0.07596185874502265,0.28649666450034317,0.9663097913046758,0.10258844907421515,0.21276850665945457
19,0.9729158926063469,0.0805984480902386,0.2780206631694064,0.9634533742984452,0.10320134959610335,0.27622731552418484
20,0.9734835652430319,0.07897464389635679,0.280835995871482,0.9646343481968124,0.10238545100052518,0.28068436901882826
21,0.9747099939342047,0.07515890357445017,0.2867745301267445,0.9644920567117364,0.10585203383904529,0.24353008524355185
22,0.9756156344808454,0.0732362539584538,0.2948775527194576,0.9669572031830411,0.10691693762087252,0.2060611931926226
