epoch,binary_accuracy,loss,macro_f1,val_binary_accuracy,val_loss,val_macro_f1
0,0.9493422330099047,0.15196397749353405,0.058255604011694065,0.9634035656532919,0.11406206091739741,0.0968599394743008
1,0.9679881779239952,0.09484871239714895,0.14454497122069354,0.971311213070178,0.08653086178613255,0.14786972199006385
2,0.9706905124718592,0.08636240686119782,0.1575757824288595,0.9712044963561206,0.08895885110999721,0.1506894226464261
3,0.9711486228132002,0.08467484620597453,0.16049430960944716,0.9718519084125876,0.08572379771464196,0.15522052914245552
4,0.9726168144885071,0.08002439745289618,0.16710175824039364,0.9726949624450083,0.08197550367252285,0.15558030314194374
5,0.9728888050471608,0.07917097312327641,0.16831342380862993,0.9730364543745718,0.08135106592379748,0.15668899560369462
6,0.9738657354401998,0.07621410536492092,0.17274719990666576,0.9729475256100119,0.08002558144633157,0.1578067293301581
7,0.9738952905786195,0.07562539423039978,0.17330772791443602,0.9730044426433594,0.08006553764295471,0.15747288696883446
8,0.9746469601812151,0.07354339933834406,0.17636069905090335,0.9726380495673632,0.0811916411997179,0.16073234522514845
9,0.9748690267039529,0.07277631792284629,0.17749836493147697,0.9729190670636546,0.08060145156691778,0.16021408768838263
10,0.9752760142907817,0.07143936592425623,0.17975761891211262,0.9730649128021946,0.08002190765056506,0.1584617135066732
11,0.975568773388676,0.07054018923884466,0.18061655487767725,0.9725420049343451,0.08100152223842197,0.1595024152833271
