epoch,binary_accuracy,loss,macro_f1,val_binary_accuracy,val_loss,val_macro_f1
0,0.9363468278990293,0.18133504775081835,0.05571089078091152,0.9552633848059351,0.13843910561600678,0.08842608481585401
1,0.9600842907715901,0.11977227454575004,0.08364854865255443,0.9554545036810472,0.14143270314317527,0.09690143102373754
2,0.9668928082284116,0.0980567470861278,0.16822522753094715,0.9683100644721738,0.09383568849553006,0.16107647400198924
3,0.96851027436858,0.09250843285145591,0.18186717979966785,0.9687319730133155,0.09222982218714734,0.1693390270210622
4,0.9693578984308788,0.08971807968904603,0.1881546674468012,0.9687716406266023,0.09184605027631719,0.1708465333913659
5,0.9699789576972698,0.08775402169795793,0.19292355968807962,0.9665431026880884,0.0978571449997737,0.16549665078833722
6,0.970288091499606,0.0863674440380556,0.19541101216779938,0.9698750875493051,0.08912357545016944,0.1751125967054837
7,0.971249396999961,0.08340949873693601,0.20143791716718903,0.9698065738878265,0.08845387410932191,0.17740615669138404
8,0.9722466021137122,0.08005330634248137,0.20823011535610617,0.9711263901967802,0.08359168451851134,0.18460741895514274
9,0.9734145285105007,0.07648505512332068,0.21543431097509777,0.9720098690185486,0.08208935831181452,0.1938393499118446
10,0.9744615944114389,0.07315091839861697,0.2212041244083873,0.9728176235574898,0.07910198341266693,0.19546348428254368
11,0.9756335098991401,0.06962366319535096,0.22920132155734527,0.9734558969591661,0.07783991628911749,0.20098371528125156
12,0.9765078593697865,0.06644029499832448,0.2344947909700649,0.9737047134192964,0.07710281987290872,0.2021134468291996
13,0.9768528924446774,0.06554394302586143,0.23636725647581355,0.9731349560863944,0.07849996781310666,0.20294119637934957
14,0.97682975700193,0.06537239957771253,0.23735977595990218,0.9726625642406729,0.07912265016172255,0.20078752657491863
15,0.9768110094984742,0.06530684019952182,0.23756015660897634,0.9730664430026669,0.07942300508331405,0.20175793017102753
16,0.9767599527519716,0.06528397145953357,0.23793169104489495,0.9728897445036252,0.0796103368397435,0.20042885891695977
17,0.9768329487901828,0.06507595147460891,0.23820902592235588,0.9725760178149998,0.08041845998984065,0.19783282334132418
18,0.9768975672443225,0.06482042880160328,0.238607183499548,0.9724173516949852,0.08166532053556504,0.19978683481597748
19,0.9776227352894401,0.06256530342591637,0.24382614030544675,0.9717862941144164,0.08263157888861773,0.199288212412875
20,0.9784938936854704,0.05981256293493714,0.24873197141946896,0.9723776874519127,0.081613598424514,0.2014106444063595
21,0.9795999940567309,0.0568049440594434,0.2545144984910026,0.9729510493733001,0.08161659882989183,0.2047391777831056
22,0.9807196563486545,0.053373292797152555,0.26143674730450406,0.9728753212387997,0.08186272657228114,0.20746882489742485
23,0.9816638105485677,0.050665947088899835,0.2663956858055284,0.9728753224905935,0.08125972477433321,0.2088609437589114
24,0.9824436263389635,0.04849496802276505,0.2710835350913031,0.9728717160725632,0.08187729992598343,0.2078689144072702
25,0.9826211288006839,0.04795459155715587,0.27302194665651436,0.9727166560817034,0.08318885358017365,0.20946624176952874
26,0.9825987912783715,0.04774058097074763,0.27364318395530096,0.9727491108589296,0.08469536131389306,0.2104257144792207
27,0.9826406738837333,0.047726137516820394,0.2733338364946514,0.9720964152516379,0.08504413111024026,0.20788345923451693
28,0.9826490499340185,0.04741620562961984,0.2742901771855917,0.9711191758200503,0.08748943665289051,0.20800170924677025
29,0.9825963976342308,0.0472545229747966,0.2747996467564407,0.9719052954136074,0.08545590662104055,0.20908532964489956
30,0.9829290657702985,0.04653219115841146,0.27671368666035817,0.9717646588801567,0.08800529175541802,0.20728984366205666
